1,8676,Nissan,2020-05-16 ,2022-04-13 
2,8057,Seat,2021-09-08 ,2022-02-23 
3,7300,Renault,2018-01-08 ,2023-04-12 
4,6265,Seat,2020-02-27 ,2022-11-26 
5,5900,Kia Motors,2017-06-30 ,2021-12-15 
6,2775,BMW,2020-12-02 ,2022-08-20 
7,3030,Kenworth,2020-07-16 ,2024-03-13 
8,6484,Honda,2019-12-25 ,2023-05-30 
9,5368,Vauxhall,2018-12-30 ,2022-12-11 
10,2392,Renault,2021-03-09 ,2022-09-14 
11,7673,Mercedes-Benz,2021-07-28 ,2022-05-27 
12,1360,Volvo,2016-03-17 ,2023-06-26 
13,8864,Isuzu,2019-02-27 ,2022-06-14 
14,6959,Hyundai Motors,2021-04-05 ,2024-08-12 
15,9290,Maruti Suzuki,2015-10-07 ,2022-10-17 
16,2854,Smart,2021-03-28 ,2023-03-14 
17,6244,Ford,2018-05-22 ,2023-10-04 
18,6771,Skoda,2020-03-26 ,2022-06-28 
19,6236,Audi,2019-11-17 ,2025-02-11 
20,4248,Mazda,2021-04-16 ,2023-01-07 
21,8628,Renault,2021-06-07 ,2022-07-26 
22,7655,Cadillac,2017-12-22 ,2024-04-21 
23,2954,Buick,2021-07-26 ,2023-10-10 
24,6630,Skoda,2018-01-31 ,2021-10-09 
25,2533,Chrysler,2019-08-19 ,2022-10-02 
26,7827,Buick,2018-03-18 ,2025-01-02 
27,7312,Lincoln,2017-09-04 ,2024-10-27 
28,3935,BMW,2018-07-27 ,2023-07-15 
29,3156,Cadillac,2016-06-26 ,2024-05-23 
30,5259,Hyundai Motors,2016-04-03 ,2023-08-16 
31,4656,Maruti Suzuki,2016-09-22 ,2021-12-05 
32,2268,Ferrari,2018-08-16 ,2021-11-22 
33,3658,Volkswagen,2017-06-18 ,2023-10-27 
34,3016,BMW,2018-11-08 ,2022-03-25 
35,1132,Mercedes-Benz,2019-11-18 ,2024-08-13 
36,6630,Isuzu,2019-05-29 ,2022-12-25 
37,9259,Mazda,2016-09-30 ,2024-06-09 
38,6794,JLR,2016-11-21 ,2022-08-15 
39,3609,Vauxhall,2020-07-12 ,2024-02-08 
40,4518,Daihatsu,2017-08-11 ,2023-11-20 
41,4314,General Motors,2017-03-21 ,2022-04-01 
42,8023,Jeep,2016-07-28 ,2024-09-30 
43,6369,Seat,2017-02-21 ,2024-07-05 
44,8316,Smart,2020-05-11 ,2023-04-08 
45,1983,Toyota,2018-03-22 ,2024-11-11 
46,1347,Renault,2021-05-05 ,2022-04-15 
47,9251,BMW,2017-12-16 ,2023-12-14 
48,7604,Skoda,2017-08-15 ,2023-12-16 
49,7935,Renault,2017-06-15 ,2023-11-03 
50,7041,RAM Trucks,2019-09-16 ,2023-01-16 
51,9375,Mercedes-Benz,2019-07-13 ,2022-12-22 
52,5819,Dongfeng Motor,2018-04-13 ,2022-11-08 
53,5599,MINI,2018-05-19 ,2022-02-10 
54,7103,Mazda,2020-04-13 ,2023-03-27 
55,5734,Fiat,2018-08-14 ,2023-12-22 
56,7671,Seat,2017-03-01 ,2023-11-24 
57,4338,Peugeot,2019-12-11 ,2023-10-24 
58,4207,Chevrolet,2016-08-15 ,2023-08-19 
59,7131,Lexus,2021-06-23 ,2023-05-03 
60,4650,GMC,2021-01-24 ,2022-12-16 
61,7819,FAW,2018-09-25 ,2023-03-17 
62,4303,Lincoln,2020-04-27 ,2024-07-02 
63,3033,Audi,2021-03-18 ,2022-12-13 
64,5079,Ferrari,2017-04-02 ,2024-02-10 
65,7579,GMC,2016-05-14 ,2024-03-03 
66,2804,Lexus,2015-11-17 ,2024-04-08 
67,7410,Ferrari,2017-06-20 ,2022-05-09 
68,4933,Chrysler,2017-10-31 ,2024-01-22 
69,8329,Smart,2018-02-09 ,2023-06-16 
70,7830,JLR,2016-11-15 ,2024-10-27 
71,5364,Mercedes-Benz,2020-11-30 ,2023-04-12 
72,6903,Porsche,2021-07-15 ,2024-04-11 
73,9153,Lincoln,2017-10-15 ,2024-03-31 
74,8416,General Motors,2015-11-07 ,2021-11-29 
75,4306,Lincoln,2016-08-11 ,2024-12-08 
76,4252,Skoda,2018-05-19 ,2023-02-25 
77,9060,Smart,2018-02-06 ,2023-07-26 
78,6858,Volvo,2017-08-21 ,2023-06-09 
79,3868,Dodge,2015-10-03 ,2023-02-17 
80,1073,Chevrolet,2019-09-10 ,2025-01-03 
81,9947,Daihatsu,2020-11-04 ,2022-02-15 
82,7819,Honda,2020-07-30 ,2022-03-25 
83,7189,Smart,2018-12-21 ,2022-01-12 
84,5153,BMW,2018-12-12 ,2022-01-29 
85,4852,Chrysler,2017-10-18 ,2022-07-27 
86,6899,Fiat,2016-09-07 ,2022-04-20 
87,9925,Porsche,2019-08-12 ,2022-08-09 
88,6328,Honda,2020-11-01 ,2024-01-14 
89,8222,Mercedes-Benz,2017-05-10 ,2023-06-16 
90,6100,Jeep,2018-09-23 ,2024-04-06 
91,3441,Chrysler,2021-08-23 ,2022-07-25 
92,9778,Smart,2017-03-27 ,2024-03-06 
93,9227,Suzuki,2017-02-24 ,2023-08-04 
94,7714,Maruti Suzuki,2020-02-20 ,2022-05-14 
95,4462,Hyundai Motors,2016-11-13 ,2024-07-23 
96,9720,Honda,2020-04-19 ,2024-08-30 
97,1307,BMW,2017-03-30 ,2024-11-09 
98,3118,Dodge,2020-07-11 ,2022-04-13 
99,2753,Cadillac,2020-08-08 ,2023-11-13 
100,4374,BMW,2016-04-12 ,2022-01-01 
