1,179,1042,2073,"ac mattis ornare, lectus ante dictum mi, ac mattis velit"
2,128,1099,2088,orci sem eget massa. Suspendisse eleifend. Cras sed leo. Cras
3,200,1065,2025,"Mauris blandit enim consequat purus. Maecenas libero est, congue a,"
4,155,1061,2059,ipsum nunc id enim. Curabitur massa. Vestibulum accumsan neque et
5,142,1018,2082,Nunc pulvinar arcu et pede. Nunc sed orci lobortis augue
6,129,1104,2006,"imperdiet ullamcorper. Duis at lacus. Quisque purus sapien, gravida non,"
7,150,1039,2064,"cursus. Nunc mauris elit, dictum eu, eleifend nec, malesuada ut,"
8,163,1087,2046,"tellus lorem eu metus. In lorem. Donec elementum, lorem ut"
9,135,1084,2021,"ac, eleifend vitae, erat. Vivamus nisi. Mauris nulla. Integer urna."
10,150,1052,2030,Cras eget nisi dictum augue malesuada malesuada. Integer id magna
11,127,1038,2099,Maecenas ornare egestas ligula. Nullam feugiat placerat velit. Quisque varius.
12,148,1020,2086,ante. Vivamus non lorem vitae odio sagittis semper. Nam tempor
13,137,1074,2025,ligula. Aliquam erat volutpat. Nulla dignissim. Maecenas ornare egestas ligula.
14,154,1091,2094,"gravida non, sollicitudin a, malesuada id, erat. Etiam vestibulum massa"
15,183,1058,2008,"mi. Duis risus odio, auctor vitae, aliquet nec, imperdiet nec,"
16,112,1074,2073,"adipiscing lobortis risus. In mi pede, nonummy ut, molestie in,"
17,181,1058,2041,"diam eu dolor egestas rhoncus. Proin nisl sem, consequat nec,"
18,134,1015,2099,"sollicitudin commodo ipsum. Suspendisse non leo. Vivamus nibh dolor, nonummy"
19,155,1051,2022,non nisi. Aenean eget metus. In nec orci. Donec nibh.
20,128,1050,2070,"nulla ante, iaculis nec, eleifend non, dapibus rutrum, justo. Praesent"
21,186,1030,2025,massa. Suspendisse eleifend. Cras sed leo. Cras vehicula aliquet libero.
22,150,1015,2036,"sagittis augue, eu tempor erat neque non quam. Pellentesque habitant"
23,167,1016,2010,"egestas. Aliquam nec enim. Nunc ut erat. Sed nunc est,"
24,129,1076,2031,"scelerisque, lorem ipsum sodales purus, in molestie tortor nibh sit"
25,136,1024,2094,Proin ultrices. Duis volutpat nunc sit amet metus. Aliquam erat
26,160,1047,2076,faucibus. Morbi vehicula. Pellentesque tincidunt tempus risus. Donec egestas. Duis
27,179,1081,2031,"Nunc sollicitudin commodo ipsum. Suspendisse non leo. Vivamus nibh dolor,"
28,157,1071,2098,quam vel sapien imperdiet ornare. In faucibus. Morbi vehicula. Pellentesque
29,198,1082,2084,sagittis. Nullam vitae diam. Proin dolor. Nulla semper tellus id
30,164,1079,2048,"semper erat, in consectetuer ipsum nunc id enim. Curabitur massa."
